Nome;Descrição;Carga Horária;Turma;Sala;Professor;Início;Término;Ocorrências
Design Thinkin, Gestão da Inovação e Novos Modelos de Negócios;Descr 1;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;11/01,11/02,11/03,11/04,11/06
Trabalho de Conclusão;Descr 2;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;12/01,12/02,12/03,12/04,12/05
Content Marketing;Descr 3;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;13/01,13/02,13/03,13/04,13/05
Fundamentos de Finanças  (EAD);Descr 4;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;14/01,14/02,14/03,14/04,14/05
Fundamentos de Marketing (EAD);Descr 5;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;15/01,15/02,15/03,15/04,15/05
Comportamento do consumidor e Tendências no  Varejo Digital;Descr 6;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;16/01,16/02,16/03,16/04,16/05
Tecnologia, Big Data e UX/UI;Descr 7;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;17/01,17/02
Marketing e Branding na Moda;Descr 8;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;18/03,18/04
SAC 2.0, CRM e Marketing de Relacionamento;Descr 9;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;19/05,19/03
Gestão de Produto de Moda;Descr 10;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;20/01,20/02
Mídia Online, Mídia de Performance e plataformas digitais para mídia;Descr 11;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;21/01,21/02,21/03,21/04,21/05
Planejamento Estratégico do varejo de moda nos multicanais digitais ;Descr 12;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;22/01,22/02,22/03,22/04,22/05
Logística, BackOffice e Financeiro;Descr 13;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;23/01,23/02,23/03,23/04,23/05
Construção de E-Commerce / Marketplace;Descr 14;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;24/01,24/02,24/03,24/04,24/05
Redes Sociais: Estratégia, Gestão e Análise;Descr 15;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;25/01,25/02,25/03,25/04,25/05
TCC Aplicando Caso Real;Descr 16;60;Turma 4;Sala 4;Professor 4;01/01/2021;02/07/2021;26/01,26/02,26/03,26/04,26/05
