Nome;Descrição;Carga Horária;Turma;Sala;Professor;Início;Término;Ocorrências
aula 1;Descr 1;60;Turma 1;Sala 2;Professor 2;02/06/2021 00:00;02/12/2021 13:00;11/06,11/07,11/08,11/09,11/10
aula 2;Descr 2;60;Turma 1;Sala 3;Professor 3;03/06/2021 00:00;02/12/2021 13:00;12/06,12/07,12/08,12/09,12/10
aula 3;Descr 3;60;Turma 1;Sala 2;Professor 2;04/06/2021 00:00;02/12/2021 13:00;13/06,13/07,13/08,13/09,13/11
aula 4;Descr 4;60;Turma 1;Sala 2;Professor 2;05/06/2021 00:00;02/12/2021 13:00;14/06,14/07,14/08,14/09,14/11
aula 5;Descr 5;60;Turma 1;Sala 2;Professor 2;06/06/2021 00:00;02/12/2021 13:00;15/06,15/07,15/08,15/09,15/12
aula 6;Descr 6;60;Turma 1;Sala 2;Professor 2;07/06/2021 00:00;02/12/2021 13:00;16/06,16/07,16/08,16/09,16/12
aula 7;Descr 7;60;Turma 1;Sala 2;Professor 2;08/06/2021 00:00;02/12/2021 13:00;17/06,17/07
aula 8;Descr 8;60;Turma 1;Sala 2;Professor 2;09/06/2021 00:00;02/12/2021 13:00;18/06,18/07
aula 9;Descr 9;60;Turma 1;Sala 2;Professor 2;10/06/2021 00:00;02/12/2021 13:00;19/06,19/07
aula 10;Descr 10;60;Turma 1;Sala 2;Professor 2;11/06/2021 00:00;02/12/2021 13:00;20/06,20/07
